name,streaming_2020,sales_2020,publishing_2020,touring_2020,total_2020,streaming_2019,sales_2019,publishing_2019,touring_2019
"Taylor Swift",10.6,10,3.2,0,23.8,NULL,NULL,NULL,NULL
"Post Malone",8.1,0.71,2,12.4,23.21,11.3,1.4,3.1,18.4
"Celine Dion",0.29,0.22,0,17,17.51,0.95,0.57,0.01,20.4
Eagles,2.7,0.97,1.2,11.4,16.27,NULL,NULL,NULL,NULL
"Billie Eilish",5.9,2.1,5.7,1,14.7,6.1,2.5,6.9,1.7
Drake,11.7,0.64,1.9,0,14.24,NULL,NULL,NULL,NULL
Queen,5.5,5.3,2.4,0,13.2,8.1,9.6,3.1,14.4
"The Beatles",5.1,5.2,2.6,0,12.9,NULL,NULL,NULL,NULL
"YoungBoy Never Broke Again",10,0.13,1.7,0.13,11.96,NULL,NULL,NULL,NULL
"Lil Baby",9.1,0.15,2.2,0.25,11.71,NULL,NULL,NULL,NULL
"The Weeknd",7.3,1.5,1.6,0,10.4,NULL,NULL,NULL,NULL
Aventura,0.94,0.01,0.44,8.8,10.19,NULL,NULL,NULL,NULL
AC/DC,4.3,4,1.8,0,10.1,NULL,NULL,NULL,NULL
Eminem,6.6,1.3,1.8,0,9.7,NULL,NULL,NULL,NULL
"Lil Uzi Vert",7.6,0.09,1.8,0,9.49,NULL,NULL,NULL,NULL
"Luke Combs",5.5,0.87,1.8,1,9.17,4,1.1,1.5,10.5
DaBaby,7.1,0.16,1.5,0.31,9.07,NULL,NULL,NULL,NULL
Metallica,3.9,3.7,1.4,0,9,3.6,3.6,1.3,9.5
BTS,3.7,4.3,0.97,0,8.97,2.9,2,0.6,15.1
"Pink Floyd",3.2,4.3,1.3,0,8.8,NULL,NULL,NULL,NULL
"Bad Bunny",6.8,0.22,1.4,0,8.42,2.6,0.11,1.4,15.5
Future,6.4,0.19,1.6,0,8.19,NULL,NULL,NULL,NULL
"Ariana Grande",6,0.77,0.76,0,7.53,8.2,1.1,1.2,33.7
"Roddy Ricch",5.7,0.12,1.5,0.09,7.41,NULL,NULL,NULL,NULL
"Rod Wave",6,0.07,1.3,0,7.37,NULL,NULL,NULL,NULL
"George Strait",2.1,0.45,0.17,4.2,6.91,2.4,0.84,0.16,18.8
"The Lumineers",1.3,0.34,0.84,4.3,6.77,NULL,NULL,NULL,NULL
"Blake Shelton",2.2,0.59,0,3.9,6.69,NULL,NULL,NULL,NULL
"Fleetwood Mac",3.2,1.8,1.6,0,6.6,2.2,1.1,1.1,11.2
"Kanye West",3.9,0.8,1.6,0,6.3,NULL,NULL,NULL,NULL
"Justin Bieber",4.7,1.1,0.44,0,6.24,NULL,NULL,NULL,NULL
Tool,0.82,0.56,0.61,4.2,6.19,NULL,NULL,NULL,NULL
KISS,0.43,0.35,0.19,5,5.97,0.41,0.41,0.18,25.7
"The Rolling Stones",2.97,1.8,1.17,0,5.94,2,1.7,0.8,60.5
"Travis Scott",4.96,0.49,0.37,0,5.82,5.5,0.33,0.5,9.2
"Ed Sheeran",3.74,0.39,1.53,0,5.66,NULL,NULL,NULL,NULL
Halsey,3.48,0.97,1.1,0,5.55,NULL,NULL,NULL,NULL
"Harry Styles",3.3,1.84,0.4,0,5.54,NULL,NULL,NULL,NULL
"Billy Joel",1.7,0.31,0.99,2.5,5.5,1.7,0.3,0.99,23.2
Aerosmith,1.33,0.56,0.84,2.7,5.43,1.3,0.52,0.61,15.9
"Elton John",NULL,NULL,NULL,NULL,NULL,2.2,0.99,0.62,39.5
"The Jonas Brothers",NULL,NULL,NULL,NULL,NULL,2.1,1.2,3.8,33.7
P!nk,NULL,NULL,NULL,NULL,NULL,1.8,1.04,1.2,26.5
"Justin Timberlake",NULL,NULL,NULL,NULL,NULL,1.5,0.17,0.53,23.7
"Eric Church",NULL,NULL,NULL,NULL,NULL,1.7,0.44,0.93,22.8
Cher,NULL,NULL,NULL,NULL,NULL,0.3,0.4,0.01,24.5
"Paul McCartney",NULL,NULL,NULL,NULL,NULL,2.3,2.3,0.78,18.6
"Trans-Siberian Orchestra",NULL,NULL,NULL,NULL,NULL,0.23,0.2,0.14,22.2
"Dead & Company",NULL,NULL,NULL,NULL,NULL,0.87,0.75,0.42,19.8
"Lady Gaga",NULL,NULL,NULL,NULL,NULL,2.5,0.99,0.74,16.9
"Backstreet Boys",NULL,NULL,NULL,NULL,NULL,1.1,0.91,0.03,19
"Michael Buble",NULL,NULL,NULL,NULL,NULL,1.7,0.66,0.04,18.6
"Florida Georgia Line",NULL,NULL,NULL,NULL,NULL,2.6,0.4,1,16.9
"Bob Seger",NULL,NULL,NULL,NULL,NULL,0.99,0.85,0.6,16.2
Khalid,NULL,NULL,NULL,NULL,NULL,6.5,1.1,2,9
"New Kids on the Block",NULL,NULL,NULL,NULL,NULL,0.09,0.14,0.01,17.7
"Jennifer Lopez",NULL,NULL,NULL,NULL,NULL,0.75,0.04,0.03,16.9
"Carrie Underwood",NULL,NULL,NULL,NULL,NULL,1.4,0.59,0.33,15.2
"Shawn Mendes",NULL,NULL,NULL,NULL,NULL,3.1,0.39,1.8,11.9
"Zac Brown Band",NULL,NULL,NULL,NULL,NULL,1.5,0.49,0.99,14.1
"Thomas Rhett",NULL,NULL,NULL,NULL,NULL,2.6,0.41,0.48,13.2
"John Mayer",NULL,NULL,NULL,NULL,NULL,1.8,0.22,0.96,13.6
"Jason Aldean",NULL,NULL,NULL,NULL,NULL,3.1,0.58,0.04,12.6
"PANIC! at the Disco",NULL,NULL,NULL,NULL,NULL,3,0.94,3.6,7.9
